time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577836996.99996114,0.06634113,0.00587260,0.00000222,68962.00000000,0.07153646,0.000000,0.000000
1577836997.09980392,0.06634793,0.00482094,0.00000243,69015.00000000,0.06752392,0.000000,0.000000
1577836997.19963193,0.06630335,0.00499620,0.00000218,68816.00000000,0.05854710,0.000000,0.000000
1577836997.29947186,0.06625548,0.00462370,0.00000221,68927.00000000,0.05787670,0.000000,0.000000
1577836997.39931893,0.06619720,0.00428008,0.00000222,69011.00000000,0.05594060,0.000000,0.000000
1577836997.49995279,0.06610852,0.00421698,0.00000210,68992.00000000,0.05041294,0.000000,0.000000
1577836997.59978795,0.06612785,0.00451216,0.00000297,69082.00000000,0.06956843,0.000000,0.000000
1577836997.69962192,0.06602082,0.00383409,0.00000215,69084.00000000,0.04686129,0.000000,0.000000
1577836997.79947495,0.06592252,0.00378275,0.00000228,69288.00000000,0.04822896,0.000000,0.000000
1577836997.89931393,0.06582869,0.00416407,0.00000228,69002.00000000,0.04884545,0.000000,0.000000
1577836997.99995804,0.06569863,0.00353345,0.00000213,69249.00000000,0.04202802,0.000000,0.000000
1577836998.09979105,0.06558984,0.00318548,0.00000242,69395.00000000,0.04568199,0.000000,0.000000
1577836998.19961596,0.06546552,0.00351056,0.00000214,69510.00000000,0.04259080,0.000000,0.000000
1577836998.29946399,0.06534649,0.00349864,0.00000215,69643.00000000,0.04332448,0.000000,0.000000
1577836998.39931107,0.06523620,0.00361051,0.00000214,69755.00000000,0.04472356,0.000000,0.000000
1577836998.49995804,0.06514852,0.00362430,0.00000227,69814.00000000,0.04875158,0.000000,0.000000
1577836998.59980702,0.06503824,0.00318220,0.00000213,69696.00000000,0.04430655,0.000000,0.000000
1577836998.69965100,0.06493039,0.00338234,0.00000213,69754.00000000,0.04454622,0.000000,0.000000
1577836998.79947710,0.06483934,0.00385019,0.00000211,69407.00000000,0.04754008,0.000000,0.000000
1577836998.89931488,0.06478228,0.00439866,0.00000218,69292.00000000,0.05388408,0.000000,0.000000
1577836998.99996114,0.06475012,0.00462108,0.00000220,69489.00000000,0.05857375,0.000000,0.000000
1577836999.09980702,0.06474956,0.00561645,0.00000220,69659.00000000,0.06464127,0.000000,0.000000
1577836999.19966888,0.06476047,0.00589127,0.00000223,69720.00000000,0.06687812,0.000000,0.000000
1577836999.29950690,0.06476950,0.00553250,0.00000223,69772.00000000,0.06653036,0.000000,0.000000
1577836999.39934301,0.06480911,0.00605130,0.00000229,69980.00000000,0.07257327,0.000000,0.000000
1577836999.49997902,0.06485828,0.00649077,0.00000226,70041.00000000,0.07454407,0.000000,0.000000
1577836999.59981394,0.06493342,0.00732465,0.00000228,70221.00000000,0.07981142,0.000000,0.000000
1577836999.69966483,0.06504268,0.00700452,0.00000241,70549.00000000,0.08678562,0.000000,0.000000
1577836999.79951406,0.06511852,0.00636231,0.00000242,70608.00000000,0.08028691,0.000000,0.000000
1577836999.89935112,0.06517878,0.00645693,0.00000245,70772.00000000,0.07728989,0.000000,0.000000
